country,region,development,energy,energy_type,group,energy_group,etf,etf_proxy,marketScore,market_score,policyScore,policy_score,macroScore,macro_score,totalScore,total_score,riskLabel,risk_label,alpha,beta,annualized_volatility,gdp,gdp_growth,inflation,debt,debt_to_gdp,fx,fx_volatility,policy_stability,keywords,policy_keywords,news_article_count,macro_source,market_source,policy_source,llm_source,marketWeight,policyWeight,macroWeight,countrySpecificRiskScore,mainRiskDriver,riskDifference,expected_annual_return,estimated_sigma,probPositive,prob5,prob8,prob10,downsideProbability,growth_coefficient,stability_coefficient,risk_coefficient,volatility_coefficient,probability_model_source,llm_interpretation,llm_status,ai,ai_interpretation
United States,North America,Advanced,Coal,Coal,Fossil,Fossil,XLE,XLE,69.01,69.01,47.8,47.8,50.13,50.13,56.98,56.98,Medium-High,Medium-High,0.01085,-0.035,0.2125,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1603,0.4381,0.4016,52.14,Policy Risk,-4.84,6.46,0.3753,56.8,51.5,48.4,46.2,43.2,0.4528,0.1603,0.0928,0.2125,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Green Hydrogen,Green Hydrogen,Low Carbon,Low Carbon,ICLN,ICLN,73.86,73.86,42.72,42.72,50.13,50.13,57.4,57.4,Medium-High,Medium-High,0.00999,0.788,0.2065,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1896,0.4158,0.3946,51.55,Macro Risk,-5.85,7.28,0.3705,57.8,52.5,49.2,47.1,42.2,0.4528,0.1603,0.0933,0.2065,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Battery Storage,Battery Storage,Grid Tech,Grid Tech,LIT,LIT,87.3,87.3,39.52,39.52,50.13,50.13,61.82,61.82,Medium-High,Medium-High,0.02258,1.183,0.2638,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2117,0.4001,0.3882,53.75,Macro Risk,-8.07,21.55,0.4404,68.8,64.6,62.1,60.3,31.2,0.4528,0.1603,0.0982,0.2638,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Transmission Grid,Transmission Grid,Grid Tech,Grid Tech,ICLN,ICLN,73.2,73.2,40.72,40.72,50.13,50.13,56.54,56.54,Medium-High,Medium-High,0.00999,0.788,0.2065,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1907,0.4124,0.3969,50.65,Macro Risk,-5.89,7.14,0.368,57.7,52.3,49.1,46.9,42.3,0.4528,0.1603,0.0923,0.2065,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Carbon Capture,Carbon Capture,Transition,Transition,ICLN,ICLN,78.26,78.26,44.12,44.12,50.13,50.13,59.58,59.58,Medium-High,Medium-High,0.00999,0.788,0.2065,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1889,0.4182,0.393,52.94,Macro Risk,-6.64,6.39,0.3767,56.7,51.5,48.3,46.2,43.3,0.4528,0.1603,0.0957,0.2065,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Energy Efficiency,Energy Efficiency,Demand Tech,Demand Tech,ICLN,ICLN,71.66,71.66,35.76,35.76,50.13,50.13,54.43,54.43,Medium,Medium,0.00999,0.788,0.2065,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1935,0.4039,0.4026,48.49,Macro Risk,-5.94,7.67,0.362,58.4,52.9,49.6,47.4,41.6,0.4528,0.1603,0.09,0.2065,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Solar PV,Solar PV,Renewable,Renewable,TAN,TAN,81.14,81.14,39.88,39.88,52.37,52.37,60.13,60.13,Medium-High,Medium-High,0.00722,0.89,0.2335,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2163,0.4067,0.377,53.51,Macro Risk,-6.62,5.18,0.4264,54.8,50.2,47.4,45.5,45.2,0.398,0.2066,0.0866,0.2476,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Onshore Wind,Onshore Wind,Renewable,Renewable,FAN,FAN,58.96,58.96,39.32,39.32,52.37,52.37,51.09,51.09,Medium,Medium,0.01443,0.578,0.1736,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2017,0.4134,0.3849,48.3,Macro Risk,-2.79,15.08,0.3407,67.1,61.6,58.2,55.9,32.9,0.398,0.2066,0.0765,0.1877,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Offshore Wind,Offshore Wind,Renewable,Renewable,FAN,FAN,60.06,60.06,41.04,41.04,52.37,52.37,52.05,52.05,Medium,Medium,0.01443,0.578,0.1736,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2006,0.4166,0.3828,49.19,Macro Risk,-2.86,14.97,0.3434,66.9,61.4,58.0,55.8,33.1,0.398,0.2066,0.0776,0.1877,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Hydropower,Hydropower,Renewable,Renewable,ICLN,ICLN,71.66,71.66,38.96,38.96,52.37,52.37,56.06,56.06,Medium-High,Medium-High,0.00999,0.788,0.2065,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2117,0.4076,0.3807,50.99,Macro Risk,-5.07,8.83,0.3878,59.0,53.9,50.9,48.8,41.0,0.398,0.2066,0.082,0.2206,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Geothermal,Geothermal,Renewable,Renewable,ICLN,ICLN,71.22,71.22,37.76,37.76,52.37,52.37,55.53,55.53,Medium-High,Medium-High,0.00999,0.788,0.2065,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2125,0.4053,0.3821,50.45,Macro Risk,-5.08,9.06,0.3863,59.3,54.2,51.1,49.0,40.7,0.398,0.2066,0.0814,0.2206,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Biomass,Biomass,Renewable,Renewable,ICLN,ICLN,75.18,75.18,38.68,38.68,52.37,52.37,57.39,57.39,Medium-High,Medium-High,0.00999,0.788,0.2065,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2119,0.4071,0.381,51.63,Macro Risk,-5.76,8.39,0.3916,58.5,53.4,50.4,48.4,41.5,0.398,0.2066,0.0835,0.2206,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Nuclear,Nuclear,Low Carbon,Low Carbon,URA,URA,100.0,100.0,43.88,43.88,52.37,52.37,68.88,68.88,Medium-High,Medium-High,0.00559,2.335,0.4534,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.3002,0.3685,0.3313,63.54,Market Risk,-5.34,1.22,0.6713,50.7,47.8,46.0,44.8,49.3,0.398,0.2066,0.0963,0.4675,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Natural Gas,Natural Gas,Fossil,Fossil,XLE,XLE,67.25,67.25,40.0,40.0,52.37,52.37,54.61,54.61,Medium,Medium,0.01085,-0.035,0.2125,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1817,0.4248,0.3935,49.82,Macro Risk,-4.79,9.07,0.3896,59.2,54.2,51.1,49.1,40.8,0.398,0.2066,0.0804,0.2266,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,LNG,LNG,Fossil,Fossil,XLE,XLE,68.57,68.57,40.92,40.92,52.37,52.37,55.41,55.41,Medium-High,Medium-High,0.01085,-0.035,0.2125,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1812,0.4265,0.3923,50.42,Macro Risk,-4.99,9.01,0.3919,59.1,54.1,51.0,49.0,40.9,0.398,0.2066,0.0813,0.2266,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Oil,Oil,Fossil,Fossil,XLE,XLE,70.11,70.11,40.76,40.76,52.37,52.37,55.98,55.98,Medium-High,Medium-High,0.01085,-0.035,0.2125,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1813,0.4262,0.3925,50.64,Macro Risk,-5.34,8.53,0.3936,58.6,53.6,50.5,48.5,41.4,0.398,0.2066,0.0819,0.2266,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Coal,Coal,Fossil,Fossil,XLE,XLE,69.01,69.01,47.8,47.8,52.37,52.37,57.66,57.66,Medium-High,Medium-High,0.01085,-0.035,0.2125,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1772,0.4393,0.3835,53.31,Policy Risk,-4.35,7.88,0.3984,57.8,52.9,49.9,47.9,42.2,0.398,0.2066,0.0838,0.2266,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Green Hydrogen,Green Hydrogen,Low Carbon,Low Carbon,ICLN,ICLN,73.86,73.86,42.72,42.72,52.37,52.37,58.07,58.07,Medium-High,Medium-High,0.00999,0.788,0.2065,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2092,0.4147,0.3761,52.86,Macro Risk,-5.21,8.71,0.3935,58.8,53.8,50.7,48.7,41.2,0.398,0.2066,0.0843,0.2206,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Battery Storage,Battery Storage,Grid Tech,Grid Tech,LIT,LIT,87.3,87.3,39.52,39.52,52.37,52.37,62.49,62.49,Medium-High,Medium-High,0.02258,1.183,0.2638,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2332,0.3974,0.3694,55.41,Market Risk,-7.08,23.02,0.4635,69.0,65.1,62.7,61.1,31.0,0.398,0.2066,0.0892,0.2779,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Transmission Grid,Transmission Grid,Grid Tech,Grid Tech,ICLN,ICLN,73.2,73.2,40.72,40.72,52.37,52.37,57.21,57.21,Medium-High,Medium-High,0.00999,0.788,0.2065,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2105,0.411,0.3785,51.97,Macro Risk,-5.24,8.57,0.3911,58.7,53.6,50.6,48.5,41.3,0.398,0.2066,0.0833,0.2206,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Carbon Capture,Carbon Capture,Transition,Transition,ICLN,ICLN,78.26,78.26,44.12,44.12,52.37,52.37,60.25,60.25,Medium-High,Medium-High,0.00999,0.788,0.2065,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2083,0.4173,0.3745,54.33,Macro Risk,-5.92,7.83,0.3998,57.8,52.8,49.8,47.8,42.2,0.398,0.2066,0.0867,0.2206,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Canada,North America,Advanced,Energy Efficiency,Energy Efficiency,Demand Tech,Demand Tech,ICLN,ICLN,71.66,71.66,35.76,35.76,52.37,52.37,55.1,55.1,Medium-High,Medium-High,0.00999,0.788,0.2065,1.5548,1.5548,2.3816,64.8872,64.8872,4.2237,4.2237,61.9695,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2139,0.4015,0.3846,49.83,Macro Risk,-5.27,9.07,0.385,59.3,54.2,51.1,49.0,40.7,0.398,0.2066,0.081,0.2206,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Mexico,Latin America,Emerging,Solar PV,Solar PV,Renewable,Renewable,TAN,TAN,81.14,81.14,39.88,39.88,63.61,63.61,63.5,63.5,Medium-High,Medium-High,0.00722,0.89,0.2335,1.4274,1.4274,4.7223,49.5702,49.5702,8.8164,8.8164,35.6909,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1934,0.4384,0.3682,56.6,Macro Risk,-6.9,4.16,0.4638,53.6,49.3,46.7,45.0,46.4,0.3623,0.119,0.0903,0.2677,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Mexico,Latin America,Emerging,Onshore Wind,Onshore Wind,Renewable,Renewable,FAN,FAN,58.96,58.96,39.32,39.32,63.61,63.61,54.46,54.46,Medium,Medium,0.01443,0.578,0.1736,1.4274,1.4274,4.7223,49.5702,49.5702,8.8164,8.8164,35.6909,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.18,0.445,0.375,51.96,Macro Risk,-2.5,14.12,0.3781,64.6,59.5,56.4,54.3,35.4,0.3623,0.119,0.0803,0.2078,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Mexico,Latin America,Emerging,Offshore Wind,Offshore Wind,Renewable,Renewable,FAN,FAN,60.06,60.06,41.04,41.04,63.61,63.61,55.42,55.42,Medium-High,Medium-High,0.01443,0.578,0.1736,1.4274,1.4274,4.7223,49.5702,49.5702,8.8164,8.8164,35.6909,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1791,0.4477,0.3732,52.87,Macro Risk,-2.55,14.01,0.3808,64.4,59.4,56.3,54.2,35.6,0.3623,0.119,0.0813,0.2078,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Mexico,Latin America,Emerging,Hydropower,Hydropower,Renewable,Renewable,ICLN,ICLN,71.66,71.66,38.96,38.96,63.61,63.61,59.44,59.44,Medium-High,Medium-High,0.00999,0.788,0.2065,1.4274,1.4274,4.7223,49.5702,49.5702,8.8164,8.8164,35.6909,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1891,0.4395,0.3713,54.29,Macro Risk,-5.15,7.84,0.4252,57.3,52.7,49.9,48.0,42.7,0.3623,0.119,0.0858,0.2407,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
Mexico,Latin America,Emerging,Geothermal,Geothermal,Renewable,Renewable,ICLN,ICLN,71.22,71.22,37.76,37.76,63.61,63.61,58.9,58.9,Medium-High,Medium-High,0.00999,0.788,0.2065,1.4274,1.4274,4.7223,49.5702,49.5702,8.8164,8.8164,35.6909,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1898,0.4376,0.3726,53.74,Macro Risk,-5.16,8.07,0.4237,57.6,52.9,50.1,48.2,42.4,0.3623,0.119,0.0852,0.2407,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
